task;measure;type;phase;valence;recode;cuectx;task_full;measure_full;notes;Codebook;
15WT;IM;verbal;L;N;1;cue;15 Word task;immediate memory;;phase: L=learning M=Memory;
15WT;DR;verbal;M;N;1;cue;15 Word task;delayed recall;;"valence: T=trauma; N=non_trauma_neutral; E=non_trauma_emotional; F=non-trauma_fearfull";
autobio_n;specificity;verbal;M;N;1;cue;Autobiographical memory (tell memory) - generate autobiographical memories in response to neutral words;classify first retrieved memory in terms of specificity (% specific memories) - SpecificityScore;;"recode: 1=no recode needed; -1=recode needed";
autobio_emo;specificity;verbal;M;E;1;cue;"Autobiographical memory (tell memory fast but specific) - when  ""emotional cue word""  experienced?";classify first retrieved memory in terms of specificity (% specific memories);;"cuectx: =cue; =ctx";
autobio_emo;latency;verbal;M;E;-1;cue;"Autobiographical memory (tell memory fast but specific) - when  ""emotional cue word""  experienced?";time to specific memory (s);;"type: =verbal; =visual; =Spatial; =fear";
BV;FD;visual;M;N;1;cue;Benton Visual;Form Discrimination;;;
BV;RT;visual;M;N;1;cue;Benton Visual;Retention Test;;;
BV;RT_error;visual;M;N;-1;cue;Benton Visual;retention test errors counted;;;
BVMT-R;DR;visual;M;N;1;cue;Brief Visuospatial Memory Test-Revised ;Delayed recall ;;;
CVLT;ListB;verbal;L;N;-1;cue;California Verbal-learning Test;active interference (list b);;;
CVLT;Trial1;verbal;L;N;1;cue;California Verbal-learning Test;inital aquisition;;;
CVLT;Trial1-5;verbal;L;N;1;cue;California Verbal-learning Test;immeadiate memory or cummulative learning;;;
CVLT;Trial5;verbal;L;N;1;cue;California Verbal-learning Test;cummulative learning;;;
CVLT;Trial1-5_ListB;verbal;L;N;1;cue;California Verbal-learning Test;CVLT discriminability (memory targe recall vs intrusions recall ). Trial1-5 / listB;;;
CVLT;SDcued;verbal;M;N;1;cue;California Verbal-learning Test;short delay cued recall;;;
CVLT;SDfree;verbal;M;N;1;cue;California Verbal-learning Test;short delay free recall;;;
CVLT;LDfree;verbal;M;N;1;cue;California Verbal-learning Test;long delay free recall ;;;
CVLT;LDcued;verbal;M;N;1;cue;California Verbal-learning Test;long delay cued recall;;;
CVLT;LDrecog;verbal;M;N;1;cue;California Verbal-learning Test;long delay recognition;;;
CVLT;LD_SD;verbal;M;N;1;cue;California Verbal-learning Test;LD / SD;;;
CVLT;Trial5_SDfree;verbal;M;N;-1;cue;California Verbal-learning Test;retroactive interference trial5/SD free;;;
CVMT;totalLearning;visual;L;N;1;cue;Continuous Visual Memory Test;TotalCorrect Learning;;;
CVMT;FP;visual;L;N;-1;cue;Continuous Visual Memory Test;false positives;;;
CVMT;totalDelay;visual;M;N;1;cue;Continuous Visual Memory Test;TotalCorrect Delay;;;
FC;Acq_CS+_EMG;threat;L;F;1;cue;Fear Conditioning;aquisition threat cue;;;
FC;Acq_CS+_SCR;threat;L;F;1;cue;Fear Conditioning;aquisition threat cue;;;
FC;Acq_CS+_Freezing;threat;L;F;1;cue;Fear Conditioning;aquisition threat cue;;;
FC;Acq_CS-_EMG;safety;L;F;-1;cue;Fear Conditioning;aquisition safety cue;;;
FC;Acq_CS-_SCR;safety;L;F;-1;cue;Fear Conditioning;aquisition safety cue;;;
FC;Acq_CTX+_LatencyTime(s);threat;L;F;1;context;Fear Conditioning;aquisition threat context;;;
FC;Acq_CTX+_Freezing;threat;L;F;1;context;Fear Conditioning;aquisition threat context;;;
FC;ReAcq_CS-_EMG;safety;L;F;-1;cue;Fear Conditioning;reaquisition safety cue;;;
FC;ReAcq_CS+_EMG;threat;L;F;1;cue;Fear Conditioning;reaquisition threat cue;;;
FC;RET_CS+_EMG;threat;M;F;1;cue;Fear Conditioning;retention threat cue;;;
FC;RET_CS-_EMG;safety;M;F;-1;cue;Fear Conditioning;retention safety cue;;;
FC;RET_CS+_Freezing;threat;M;F;1;cue;Fear Conditioning;retention threat cue;;;
FC;RET_CTX-_Freezing;safety;M;F;-1;context;Fear Conditioning;retention safety context;;;
FC;RET_CTX+-CTX-_EMG;threat;M;F;1;context;Fear Conditioning;retention threat - safe context;;;
FC;RET_CTX+_Freezing;threat;M;F;1;context;Fear Conditioning;retention threat context;;;
FC;EXT_%CS+/maxCS+Acq_EMG;threat;E;F;1;cue;Fear Conditioning;extinction % threat cue fear of max threat cue fear during aquisition;;Wat te doen met extinction?;
FC;EXT_CS+_EMG;threat;E;F;1;cue;Fear Conditioning;extinction threat cue;;;
FC;EXT_CS-_EMG;safety;E;F;-1;cue;Fear Conditioning;extinction safety cue;;;
FC;EXT_CS+_Freezing;threat;E;F;1;cue;Fear Conditioning;extinction threat cue;;;
FC;EXT_CTX+_Freezing;threat;E;F;1;context;Fear Conditioning;extinction threat context;;;
FC;EXT_CTX+_LatencyTime(s);threat;E;F;1;context;Fear Conditioning;exticntion threat context;;;
FC;EXT.L_CS-_SCR;safety;E;F;-1;cue;Fear Conditioning;extinction learning safety cue;;;
FC;EXT.L_CS+_SCR;threat;E;F;1;cue;Fear Conditioning;extinciton learning threat cue;;;
FC;EXT.M_CS-_SCR;safety;E;F;-1;cue;Fear Conditioning;extinction memory safety cue;;;
FC;EXT.M_CS+_SCR;threat;E;F;1;cue;Fear Conditioning;extinction memory threat cue;;;
HVLT;totalLearning;verbal;L;N;1;cue;Hopkins Verbal Learning Test (12 words Remember & Recognition);number correct learning (total correct learning);;;
HVLT;totalRecognition;verbal;M;N;1;cue;Hopkins Verbal Learning Test (12 words Remember & Recognition);number correct recognition;;;
HVLT;retention;verbal;M;N;1;cue;Hopkins Verbal Learning Test (12 words Remember & Recognition);% retainted;;;
MWM;EscapeLatency;spatial;L;N;-1;context;Morris Water Maze;escape latencies to find platform;De vraag of dit inderdaad correct is, bij leren bv op zoek naar platform (maar wel aan de hand van contextual inforamtie);;
MWM;TimeQuadrant;spatial;M;N;1;context;Morris Water Maze;Time spent in target quadrant (s);;;
MWM_trauma;TimeQuadrant;threat;M;T;1;context;Morris Water Maze after trauma in maze;Time spent in target quadrant (s);;;
ORT;ExplorationRatio;visual;M;N;1;cue;object recognition;novel object explorationtime / total exploration time;nb besloten dat trauma objecten nooit ORT zijn, maar SR;;
RAVLT;Trial1-5;verbal;L;N;1;cue;Rey Auditory Verbal-Learning Test (AVLT);sum of correctly recalled words List A;;;
RAVLT;ListB;verbal;L;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);proactive interference;;;
RAVLT;ListB/trial5;verbal;L;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);proactive interference ratio;;;
RAVLT;Trial5-SD Free;verbal;M;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);reteroactive interference;;;
RAVLT;Recognition FA;verbal;M;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);false alarms;;;
RAVLT;LD Recall;verbal;M;N;1;cue;Rey Auditory Verbal-Learning Test (AVLT);total correct List A, long-delay recall;;;
RAVLT;Recognition Hit;verbal;M;N;1;cue;Rey Auditory Verbal-Learning Test (AVLT);hits;;;
RAVLT;SD Free;verbal;M;N;1;cue;Rey Auditory Verbal-Learning Test (AVLT);correct List A, short-delay recall;;;
RAVLT;List A recall/Trial 5;verbal;M;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);retroactive interference ratio;;;
RAVLT;LD Recall / SD Recall;verbal;M;N;1;cue;Rey Auditory Verbal-Learning Test (AVLT);savings ratio ;;;
RAVLT;RecallPerservations;verbal;M;N;-1;cue;Rey Auditory Verbal-Learning Test (AVLT);perservation;;;
RAWM;SD_Errors;spatial;M;N;-1;context;Radial Arm Water Maze;30min after learning;;;
RAWM;LD_Errors;spatial;M;N;-1;context;Radial Arm Water Maze;24h after learning;;;
RBANS;recall;mix;M;N;1;cue;Repeatable Battery for the Assessment of Neuropsychological Status (RBANS);Recall (tscore) memory measures (story recall trials, list recall, list recogntion, figure recall);;;
RBMT;Total;mix;M;N;1;cue;Rivermead Behavioral Memory Test ;total verbal & nonverbal subscales mixed;;;
RBMT;RBMT_Verbal;verbal;M;N;1;cue;Rivermead Behavioral Memory Test ;"verbal subscales [Name; appointment; newspaper article (immediate & delayed); message; date]";;;
RBMT;RBMT_NonVerbal;mix;M;N;1;cue;Rivermead Behavioral Memory Test ;"non-verbal subscales [ hidden belonging; picture recognition; face recognition; new route (immediate & delayed); orientation";;;
ROCF;IR;visual;L;N;1;cue;Rey-Osterreith Complex Figure ;Immediate recall;;;
ROCF;DR;visual;M;N;1;cue;Rey-Osterreith Complex Figure ;Delayed recall;;;
RVDLT;TotalLearning;visual;L;N;1;cue;Rey Visual Design Learning Test;;;;
RVDLT;TotalRetention;visual;M;N;1;cue;Rey Visual Design Learning Test;;;;
FSB;UnnecessaryCross;threat;L;F;-1;cue;Fear Shuttlebox ;# unnecessaryCrosses (*-1);;;
FSB;AvoidanceResponse;threat;L;F;1;cue;Fear Shuttlebox ;# AvoidanceResponses;;;
FSB;errors;threat;L;F;-1;cue;Fear Shuttlebox ;number of errors;;;
TSB;latency;threat;M;T;1;context;Trauma Shuttlebox ;latency score to enter dark compartment LatencyTime(s);;;
TSB;UnnecessaryCross;threat;M;T;-1;context;Trauma Shuttlebox ;movings through the gate was counted as cross in adaptation (cross in adapt.. Unecessarycross);;;
SKT;total;mix;M;N;1;cue;Short cognitive performance test ;"bevat 9 subtests pictures (named & recognized); digit numbers (noemen, oplopend plaatsten en terugplaatsen; target symbool hardop zoeken; & cog. Regidity - visual.spatial.verbal.memory.attention";;;
SR;traumaCTX_latency;threat;M;T;1;context;Sitational Reminder;TraumaCxt_LatencyTime(s);;;
SR;traumaCTX_freezing;threat;M;T;1;context;Sitational Reminder;;;;
SR;traumaCTX_time.threat;threat;M;T;-1;context;Sitational Reminder;;;;
SR;traumaCTX_time.safe;threat;M;T;1;context;Sitational Reminder;;;;
SR;traumaCtx_Entries;threat;M;T;-1;context;Sitational Reminder;;;;
SR;traumaCtx_Avoidance_CrossInAdapt;threat;M;T;-1;context;Sitational Reminder;the number of movements through the gate was counted as a cross in adaptation (cross in adapt;;;
SR;traumaCue_Avoidance(farlocation);threat;M;T;1;cue;Sitational Reminder;;;;
SR;traumaCue_Freezing;threat;M;T;1;cue;Sitational Reminder;;;;
SR;traumaCue_ObjectManipualtion;threat;M;T;-1;cue;Sitational Reminder;;;;
SR;traumaCue_ObjectBurying;threat;M;T;1;cue;Sitational Reminder;;;;
SR;traumaCue_Exploration;threat;M;T;-1;cue;Sitational Reminder;traumaCue_ExplorationTime(s);;;
WordRecognition;pHit_neutral;verbal;M;N;1;cue;Recognition memory test for words in modified stroop task ;hits;;;
WordRecognition;pHit_threat;verbal;M;E;1;cue;Recognition memory test for words in modified stroop task ;false alarms;;;
PictureRecognition;pHit_threat;visual;M;E;1;cue;Surprise memory test ( arousing  neutral positive photos );hits;;;
PictureRecognition;pFA_threat;visual;M;E;-1;cue;Surprise memory test ( arousing  neutral positive photos );false alarms;;;
PictureRecognition;pHit_neutral;visual;M;N;1;cue;Surprise memory test ( arousing  neutral positive photos );hits;;;
PictureRecognition;pFA_neutral;visual;M;N;-1;cue;Surprise memory test ( arousing  neutral positive photos );false alarms;;;
TMT;Total;visual;M;N;1;cue;Thurstone Memory Test  (visual recognition);;;;
WMS;LM_Immediate;verbal;L;N;1;cue;Wechsler Memory Scale;Logical Memory (narrative memory under free recall) ;(some info) https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2829111/;;
WMS;LM_TotalLearning;verbal;L;N;1;cue;Wechsler Memory Scale;Logical Memory (narrative memory under free recall) ;;;
WMS;picture_Recall_immediate;visual;L;N;1;cue;Wechsler Memory Scale;"faces: herken je het gezicht?  ; familiy pictures: recall de scene";;;
WMS;picture_Recognition_immediate;visual;L;N;1;cue;Wechsler Memory Scale;"faces: herken je het gezicht?  ; familiy pictures: recall de scene";;;
WMS;Visual_Immediate;visual;L;N;1;cue;Wechsler Memory Scale;;;;
WMS;AM;verbal;M;N;1;cue;Wechsler Memory Scale;LMSS en VPAS gebaseerde Auditory Memory Index;;;
WMS;DelayedRecalIndex;mix;M;N;1;cue;Wechsler Memory Scale;mixed measure?;;;
