Reference_full;Reference_First Author;Reference_Authors;Reference_Publication Year;Reference_PMID ;Screening_PDF gedownload + in mendeley;Screening_Antwoorden overleg overeenstemming 7.11.16;Screening_Vragen Milou n.a.v. results EG;"Screening_AbstractScreening_EG (1=include; 0 = exclude)";Screening_Notes_EG;"Screening_AbstractScreening_MS (1=include; 0 = exclude)";Screening_Human (1) of Animal (2);Screening_Cognitive Measure;Screening_RDoC (sub)construct ;Screening_Subjects_background (bv military/civilian/animalstrain/etc) words;Screening_military population(1);Screening_PTSD Model?;Screening_Gender;Screening_Dark/light;Screening_Task?;Screening_Brain measures?;Screening_Fysiological measures?;Screening_Psychological measures?;Screening_Intervention?;Screening_Notes_abstract screening;MetaData_Onderwerp, tijdens checken overig.;inclusion;MetaData_FINAL incl/excl_comment;"To do? 081117 (0=checked and no; E&M = vraag Elbert & Marian)";subject;MetaData_QUALITY NOTES;MetaData_NOTES MS during data extraction;MetaData_Data from vehicl injected group?;Data_Subjects_n;Data_Subjects_n_ptsd;Data_Subjects_n_control;"Data_Subjects_gender_ptsd (M = male; F = female; - = not reported)";"Data_Subjects_gender_control (M = male; F = female; - = not reported)";Data_Subjects_m_Age_ptsd (- = not reported);Data_Subjects_sd_Age_ptsd (- = not reported);Data_Subjects_m_Age_control (- = not reported);Data_Subjects_sd_Age_control (- = not reported);Data_Subjects_trauma-type_OR_PTSD-model;Data_Subjects_FS_#Shocks;Data_Subjects_FS_Amperage(mA);Data_Subjects_PTSDtypeSHORT2;"MetaData_PTSD Model in Borghans etal.2015? (1=ja; - = na)";"MetaData_Good model according to Flandreau etal. 2017? (1=ja; - = na)";Data_Subjects_Controle Group;Data_Subjects_Controltype;Multiple Control groups? (HUMAN);Data_Subjects_Strain_or_Population;Data_Subjects_ptsd-measure;MetaData_Timing_TaakVoor(Pre)ofNa(Post)Trauma?;Data_Method_study-design;Data_Method_Experimental Groups (n);Data_Method_TimeTask-Trauma;Data_Method_Task;task;Data_Method_animal light dark testing?;Data_Method_Measure;measure;MetaData_KeyFinding;"MetaData_KeyFindingSHORT(+PTSDmore;-PTSDminder;0NoDiff)";Memory index nog berekenen!;Comparison;ID_Experimental_group;ID_Control_group;Data_Outcome1_VarName;Data_Outcome1_M;Data_Outcome1_SD;Data_Outcome1_SEM;Data_Outcome2_VarName;Data_Outcome2_M;Data_Outcome2_SD;Data_Outcome2_SEM;Data_Diff_outcome1&2_SUM;Data_Diff_outcome1&2_Statistic;Data_Outcome3_VarName;Data_Outcome3_M;Data_Outcome3_SD;Data_Outcome3_SEM;Data_Outcome4_VarName;Data_Outcome4_M;Data_Outcome4_SD;Data_Outcome4_SEM;Data_Diff_outcome3&4_SUM;Data_Diff_Outcome 3&4_Statistic;Data_Diff_Outcome1&2+3&4_SUM;Data_Diff_Outcome1&2+3&4_Statistic;Data_Outcome5_VarName;Data_Outcome5_M;Data_Outcome5_SD;Data_Outcome5_SEM;Data_Outcome6_VarName;Data_Outcome6_M;Data_Outcome6_SD;Data_Outcome6_SEM;Data_Diff_Outcome5-6_SUM;Data_Diff_Outcome5-6_Statistic;Data_Outcome7_VarName;Data_Outcome7_M;Data_Outcome7_SD;Data_Outcome7_SEM;Data_Outcome8_VarName;Data_Outcome8_M;Data_Outcome8_SD;Data_Outcome8_SEM;Data_Diff_Outcome7-8_SUM;Data_Diff_Outcome7-8_Statistic;Data_Diff_Outcome5&6+7&8_SUM;Data_Diff_Outcome5&6+7&8_Statistic;Data_Outcome9_VarName;Data_Outcome9_M;Data_Outcome9_SD;Data_Outcome9_SEM;Data_Outcome10_VarName;Data_Outcome10_M;Data_Outcome10_SD;Data_Outcome10_SEM;Data_Diff_Outcome 8-10 SUM;Data_Diff_Outcome 9-10 Statistic;Data_Outcome11_VarName;Data_Outcome11_M;Data_Outcome11_SD;Data_Outcome11_SEM;Data_Outcome12_VarName;Data_Outcome12_M;Data_Outcome12_SD;Data_Outcome12_SEM;Data_Diff_Outcome11-12 SUM;Data_Diff_Outcome11-12 Statistic;Data_Diff_General SUM
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - acq fase;FC;-;Startle response (EMG);Acq_CS-_EMG;[CS- PTSD > CS- Control] & [CS+ = CS - in PTSD] during fear acq;?;;C;5;2;PTSD_Acq_CS-_StartleMag;175,19;25,13;-;Control_Acq_CS-_StartleMag;104,54;6,54;-;Higher CS- rep. In PTSD patients during Acq.;p<.004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - acq fase;FC;-;Startle response (EMG);Acq_CS+_EMG;[CS- PTSD > CS- Control] & [CS+ = CS - in PTSD] during fear acq;?;;C;5;2;PTSD_Acq_CS+_StartleMag;217,09;29;-;Control_Acq_CS+_StartleMag;214,41;7,57;-;"No difference CS+ & CS- [PTSD patients]; CS+ > CS- [controle];";"ptsd p<.09, ns; control:  p<.001";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - ext fase (5min na einde acq fase) = nooit een airpuff presented;FC;-;Startle response (EMG);EXT_%CS+/maxCS+Acq_EMG;Fear in PTSD > control bij ext.;+;;C;5;2;PTSD_LateExt_%_Conditioned_fear;29,36;6,6;-;Control_LateExt_%_Conditioned_fear;13,95;1,28;-;"PTSD group (vs controle) higher level of conditioned fear during (Mid extinction 2 &) late extinction; PTSD group higher level of conditioned fear across extinction session (vs controle)";p<.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - ext fase (5min na einde acq fase) = nooit een airpuff presented;FC;-;Startle response (EMG);EXT_%CS+/maxCS+Acq_EMG;Fear in PTSD > control bij ext.;+;;C;5;2;PTSD_MidExt2_%_Conditioned_fear;43,3;6,79;-;Control_MidExt2_%_Conditioned_fear;19,63;1,47;-;PTSD group (vs controle) higher level of conditioned fear during Mid extinction 2 (& late extinction);p<.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - ext fase (5min na einde acq fase) = nooit een airpuff presented;FC;-;Startle response (EMG);EXT_%CS+/maxCS+Acq_EMG;Fear in PTSD > control bij ext.;+;;C;5;2;PTSD_MidExt1_%_Conditioned_fear;42,75;7,16;-;Control_MidExt1_%_Conditioned_fear;30,46;1,47;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. (2015). Conditioned fear and extinction learning performance and its association with psychiatric symptoms in active duty Marines. Psychoneuroendocrinology, 51, 495–505. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1016/j.psyneuen.2014.09.030;Acheson;Acheson, D. T., Geyer, M. A., Baker, D. G., Nievergelt, C. M., Yurgil, K., & Risbrough, V. B. ;2015;25444643;1;;;1;;1;1;fear conditioning;Negative Valence - Acute Threat (fear);marine navy;1;;;;fear conditioning;no?;startle;;;;;1;-;0;1;;;0;1014;42;923;M;M;22,63;4,08;22,23;2,81;Deployment;;;Deployment;-;-;Combat Controles;TraumaExp;0;Military;CAPS;Post;between & Within subjects;4;;FC met air puff & startle sounds.. 2 symolen in taak (CS+ en CS-) (75% contingency pairing) - ext fase (5min na einde acq fase) = nooit een airpuff presented;FC;-;Startle response (EMG);EXT_%CS+/maxCS+Acq_EMG;Fear in PTSD > control bij ext.;+;;C;5;2;PTSD_EarlyExt_%_Conditioned_fear;57,61;8,63;-;Control_EarlyExt_%_Conditioned_fear;52;1,66;-;-;-;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amick, M. M., Clark, A., Fortier, C. B., Esterman, M., Rasmusson, A. M., Kenna, A., … McGlinchey, R. (2013). PTSD modifies performance on a task of affective executive control among deployed OEF/OIF veterans with mild traumatic brain injury. Journal of the International Neuropsychological Society : JINS, 19(7), 792–801. Comparative Study, Journal Article, Research Support, Non-U.S. Gov’t. http://doi.org/10.1017/S1355617713000544;Amick;Amick, M. M., Clark, A., Fortier, C. B., Esterman, M., Rasmusson, A. M., Kenna, A., … McGlinchey, R. ;2013;23823533;1;;;1;;1;1;cognitive bias/excutive control;Cognitive system - Cognitive controle - Response selection, inhibition;mTBI & PTSD veterans;1;;;;go/no-go;;;;;;executive functioning;2;"mtbi+ en mtbi- group; executive functioning";;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anastasides, N., Beck, K. D., Pang, K. C. H., Servatius, R. J., Gilbertson, M. W., Orr, S. P., & Myers, C. E. (2015). Increased generalization of learned associations is related to re-experiencing symptoms in veterans with symptoms of post-traumatic stress. Stress (Amsterdam, Netherlands), 18(4), 484–489. Journal Article, Research Support, N.I.H., Extramural, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.3109/10253890.2015.1053450;Anastasides;Anastasides, N., Beck, K. D., Pang, K. C. H., Servatius, R. J., Gilbertson, M. W., Orr, S. P., & Myers, C. E. ;2015;26372003;1;;;1;;1;1;;Cognitive system - WM / interference control;PTSD veterans;1;;;;discrimination-and-transfer task;no?;no?;;;;;0;"No Healthy Control | geen  control group; maar in veteranen sample PTSD gemeten & correlatie met associatie-reward learning task  (43,3% scored boven cut-off)";0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anger, W. K., Storzbach, D., Binder, L. M., Campbell, K. A., Rohlman, D. S., McCauley, L., … Davis, K. L. (1999). Neurobehavioral deficits in Persian Gulf veterans: evidence from a population-based study. Portland Environmental Hazards Research Center. Journal of the International Neuropsychological Society : JINS, 5(3), 203–212. Journal Article, Research Support, Non-U.S. Gov’t, Research Support, U.S. Gov’t, Non-P.H.S.;Anger;Anger, W. K., Storzbach, D., Binder, L. M., Campbell, K. A., Rohlman, D. S., McCauley, L., … Davis, K. L. ;1999;10217920;1;;;1;moeilijk op te maken uit abstract…;1;1;?;;ptsd veterans;1;;;;?;;;;;;;0;"No Healthy Control | no ptsd group, no control group; wel digit learning";0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ashley, V., Honzel, N., Larsen, J., Justus, T., & Swick, D. (2013). Attentional bias for trauma-related words: exaggerated emotional Stroop effect in Afghanistan and Iraq war veterans with PTSD. BMC Psychiatry, 13, 86. Journal Article, Research Support, U.S. Gov’t, Non-P.H.S. http://doi.org/10.1186/1471-244X-13-86;Ashley;Ashley, V., Honzel, N., Larsen, J., Justus, T., & Swick, D. ;2013;23496805;1;;;1;;1;1;interferance/ attentional bias;Social Processes - Social Communication - Reception of facial communication;ptsd veterans;1;;;;emotional stroop;;;;;;attention;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
