"";"PMID";"Title";"Authors";"Citation";"First Author";"Journal/Book";"Publication Year";"Create Date";"PMCID";"NIHMS ID";"DOI";"Screening_Human (1) of Animal (2)";"topic_to_read";"Criteria1_PTSD group / model";"Criteria2_healthy control group";"Criteria3_experimental studie";"Criteria4_adult subjects";"Criteria5_MemoryFC";"Criteria_5a behavioral measure";"Criteria_5b_post trauma measure (cases)";"Criteria_7_Availability";"inclusion.screening";"Data_Subjects_ResSus.split";"full.text.checked";"Screening_Notes_abstract screening";"Screening_Notes_full.screening"
"1";32425832;"Possible Long-Term Effects of Childhood Maltreatment on Cognitive Function in Adult Women With Posttraumatic Stress Disorder";"Nakayama M, Hori H, Itoh M, Lin M, Niwa M, Ino K, Imai R, Ogawa S, Sekiguchi A, Matsui M, Kunugi H, Kim Y.";"Front Psychiatry. 2020 Apr 24;11:344. doi: 10.3389/fpsyt.2020.00344. eCollection 2020.";"Nakayama M";"Front Psychiatry";2020;2020-05-20;"PMC7212372";"NA";"10.3389/fpsyt.2020.00344";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"2";32302820;"No robust differences in fear conditioning between patients with fear-related disorders and healthy controls";"P√∂hlchen D, Leuchs L, Binder FP, Blaskovich B, Nantawisarakul T, Topalidis P, Br√ºckl TM, Norrholm SD, Jovanovic T, Spoormaker VI; BeCOME working group.";"Behav Res Ther. 2020 Mar 29;129:103610. doi: 10.1016/j.brat.2020.103610. Online ahead of print.";"P√∂hlchen D";"Behav Res Ther";2020;2020-04-18;"NA";"NA";"10.1016/j.brat.2020.103610";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"3";32222725;"Neural correlates of conceptual-level fear generalization in posttraumatic stress disorder";"Morey RA, Haswell CC, Stjepanoviƒá D; Mid-Atlantic MIRECC Workgroup,, Dunsmoor JE, LaBar KS.";"Neuropsychopharmacology. 2020 Jul;45(8):1380-1389. doi: 10.1038/s41386-020-0661-8. Epub 2020 Mar 28.";"Morey RA";"Neuropsychopharmacology";2020;2020-03-31;"NA";"NA";"10.1038/s41386-020-0661-8";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"4";32176590;"PTSD, but not history of mTBI, is associated with altered myelin in combat-exposed Iraq and Afghanistan Veterans";"Jak AJ, Jurick S, Hoffman S, Evangelista ND, Deford N, Keller A, Merritt VC, Sanderson-Cimino M, Sorg S, Delano-Wood L, Bangen KJ.";"Clin Neuropsychol. 2020 Mar 16:1-18. doi: 10.1080/13854046.2020.1730975. Online ahead of print.";"Jak AJ";"Clin Neuropsychol";2020;2020-03-17;"NA";"NA";"10.1080/13854046.2020.1730975";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"5";32081932;"The BDNF Val66Met polymorphism affects negative memory bias in civilian women with PTSD";"Hori H, Itoh M, Yoshida F, Lin M, Niwa M, Hakamata Y, Ino K, Imai R, Ogawa S, Matsui M, Kamo T, Kunugi H, Kim Y.";"Sci Rep. 2020 Feb 21;10(1):3151. doi: 10.1038/s41598-020-60096-1.";"Hori H";"Sci Rep";2020;2020-02-22;"PMC7035249";"NA";"10.1038/s41598-020-60096-1";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"6";32013935;"Exploring memory function in earthquake trauma survivors with resting-state fMRI and machine learning";"Li Y, Zhu H, Ren Z, Lui S, Yuan M, Gong Q, Yuan C, Gao M, Qiu C, Zhang W.";"BMC Psychiatry. 2020 Feb 3;20(1):43. doi: 10.1186/s12888-020-2452-5.";"Li Y";"BMC Psychiatry";2020;2020-02-05;"PMC6998246";"NA";"10.1186/s12888-020-2452-5";1;"NA";"yes?";"yes?";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"7";31864116;"The temporal course of over-generalized conditioned threat expectancies in posttraumatic stress disorder";"Hammell AE, Helwig NE, Kaczkurkin AN, Sponheim SR, Lissek S.";"Behav Res Ther. 2020 Jan;124:103513. doi: 10.1016/j.brat.2019.103513. Epub 2019 Nov 9.";"Hammell AE";"Behav Res Ther";2020;2019-12-22;"PMC6941575";"NIHMS1547107";"10.1016/j.brat.2019.103513";1;"generalization over time ptsd!";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"8";31488044;"Inhibitory control of threat remembering in PTSD";"Tudorache AC, El-Hage W, Tapia G, Goutaudier N, Kalenzaga S, Bouazzaoui B, Jaafari N, Clarys D.";"Memory. 2019 Nov;27(10):1404-1414. doi: 10.1080/09658211.2019.1662053. Epub 2019 Sep 5.";"Tudorache AC";"Memory";2019;2019-09-07;"NA";"NA";"10.1080/09658211.2019.1662053";1;"NA";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
"9";31279324;"Effects of hydrocortisone on autobiographical memory retrieval in patients with posttraumatic stress disorder and borderline personality disorder: the role of childhood trauma";"Metz S, Fleischer J, G√§rnter M, Golde S, Duesenberg M, Roepke S, Wolf OT, Otte C, Wingenfeld K.";"Neuropsychopharmacology. 2019 Nov;44(12):2038-2044. doi: 10.1038/s41386-019-0459-8. Epub 2019 Jul 6.";"Metz S";"Neuropsychopharmacology";2019;2019-07-07;"PMC6898229";"NA";"10.1038/s41386-019-0459-8";1;"cort, memory, els, ptsd";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"autobiografical memory task (AM), not behavior?";NA
"10";31206738;"Generalization of fear in post-traumatic stress disorder";"Lis S, Thome J, Kleindienst N, Mueller-Engelmann M, Steil R, Priebe K, Schmahl C, Hermans D, Bohus M.";"Psychophysiology. 2020 Jan;57(1):e13422. doi: 10.1111/psyp.13422. Epub 2019 Jun 17.";"Lis S";"Psychophysiology";2020;2019-06-18;"NA";"NA";"10.1111/psyp.13422";1;"fear gen in ptsd";"yes";"yes";"yes";"yes";"yes";"yes";"yes";NA;"1";"NA";NA;"NA";NA
