"";"PMID"
"1";32428628
"2";32333135
"3";32329303
"4";32267780
"5";32165120
"6";32143600
"7";32112915
"8";32066681
"9";32044404
"10";31869485
"11";31863872
"12";31711893
"13";31642818
"14";31622603
"15";31218539
"16";31182594
"17";31158497
"18";31103345
"19";31085186
"20";30986492
"21";30922409
"22";30871113
"23";30829662
"24";30621666
"25";30532228
"26";30429779
"27";30316170
"28";30291225
"29";30246290
"30";30228049
"31";30064318
"32";29559394
"33";29519609
"34";29458190
"35";28818702
"36";28778834
"37";28663121
"38";28341893
"39";28159589
"40";28025114
"41";27492886
"42";27147992
"43";26897419
"44";26821287
"45";26706692
"46";26174596
"47";25839906
"48";25771251
"49";25749890
"50";25721741
"51";25720329
"52";25683290
"53";25487770
"54";25407822
"55";25337363
"56";25037003
"57";25004167
"58";24879497
"59";24814135
"60";24610447
"61";24478648
"62";24106466
"63";24013012
"64";23871471
"65";23750131
"66";23740899
"67";23433741
"68";23159544
"69";22863672
"70";22659395
"71";22426496
"72";22240323
"73";21924297
"74";21764847
"75";21593730
"76";20929713
"77";20863519
"78";20655545
"79";20427053
"80";20147889
"81";20129764
"82";19703496
"83";19537923
"84";19212264
"85";17644267
"86";17335785
"87";16735032
"88";16458266
"89";12914970
"90";12644351
