"";"PMID"
"1";32302820
"2";32222725
"3";32081932
"4";31864116
"5";31206738
"6";30428446
"7";30422805
"8";30177846
"9";30052053
"10";29550677
"11";29482857
"12";29287830
"13";29216235
"14";27686278
"15";27641312
"16";27761402
"17";26917165
"18";26863536
"19";25847536
"20";25350012
"21";25274821
"22";25022773
"23";24886016
"24";24561216
"25";24473965
"26";23594034
"27";23412330
"28";22542534
"29";22278745
"30";22197003
"31";21739522
"32";20653296
"33";20143428
"34";20036466
"35";19345420
"36";19217076
"37";18853946
"38";18614265
"39";18445532
"40";21241538
"41";18178168
"42";18022601
"43";17534108
"44";17454669
"45";17442266
"46";17331476
"47";17144752
"48";17008144
"49";16901721
"50";16822734
"51";16716352
"52";16714037
"53";16508348
"54";16123770
"55";15967648
"56";15907941
"57";15572179
"58";12946114
"59";12460691
"60";10838673
"61";9238233
"62";7793467
"63";8317569
"64";1741732
